topic_id,global_top_words,n_docs_total,first_month,last_month,n_months_active,n_subcluster_hits
20,"destatis said, destatis, istat said, insee said, office destatis, mr praet, eurocoin, eurostat said, hicp, vliet economist, archer economist, mr weidmann, howard archer, insee, mr duisenberg",7005,2000-01,2018-06,161,183
21,"nehalem, opteron, itanium, tsmc, spil, netbooks, inotera, nanya, x86, openstack, mr otellini, xeon, luczo, calculating engines, mr gelsinger",4497,2000-01,2021-01,118,127
22,"mr rusnak, mr stoiber, mr schaeuble, sarrazin, stoiber, leysen, mr wulff, rusnak, cdu, mr kohl, spd, gyurcsány, schaeuble, mr haider, allfirst",869,2000-01,2018-09,29,29
23,"singson, pesos manila, philippines shares, yasay, mr yasay, bw resources, mr estrada, centavos, pesos ayala, 10 centavos, 50 centavos, manila shares, 20 centavos, ayala land, ilocos",576,2000-01,2005-02,17,22
24,"nouveau marche, led cac, index actively, racal, rose euros, euros ahead, euros paris, thomson csf, euros vivendi, television francaise, 90 euros, euros france, 60 euros, euros cap, alcatel rose",850,2000-01,2011-03,26,30
25,"compound yields, day compound, performance score, simple yields, pbhg, uits, nongovernment funds, muhlenkamp, mr nygren, retail class, day simple, taxable nongovernment, yields assume, barse, definitions notes",5555,2000-01,2020-10,145,155
26,"st 212, street 212, ave 212, marsalis, 9595, bandleader, tel 49, mingus, blue note, tel 44, tel 39, american songbook, bassist, 30 tel, balanchine",6470,2000-01,2013-06,84,107
27,"nozoe, dpj, mr ozawa, mr hatoyama, mr takenaka, mr hayami, mr shirakawa, gpif, hayami, mr kamei, hatoyama, mr mori, mr obuchi, mr kan, kamei",6932,2000-01,2019-02,191,217
28,"index nonfinancial, brien bob, exchange semiconductor, outside stocks, nasdaq software, nasdaq chip, terms dow, stanley high, continental stoxx, excluding stocks, nonfinancial stocks, action stocks, flitter, poor smallcap, tech 35",13433,2000-01,2021-12,233,321
29,"bakers union, coned, twu, budget repair, lirr, seiu, coletti, alpa, la follette, central falls, rooks, employee free, democrats fled, walker budget, nlrb",944,2000-01,2021-12,33,35
30,"cny6, francs sterling, francs pound, sterling trading, mazanec, francs dollar, francs late, currency floats, franc ice, implying fall, francs ice, manimbo, american session, sinche, yen late",7983,2000-01,2020-03,229,258
31,"tel 852, dipendra, hrh, juch, rural tourism, hours written, fonseka, siem reap, 15 admission, dalat, making spare, written readers, readers asian, siem, suggestions hours",395,2000-01,2010-01,14,15
32,"mr navalny, mr gusinsky, mr kuchma, gusinsky, mr bakiyev, mr berezovsky, borodin, mr khodorkovsky, mr yanukovych, mr lukashenko, ms tymoshenko, mr poroshenko, akayev, tatars, bakiyev",5955,2000-01,2021-06,165,174
33,"everaert, euros philips, benchmark 24, cobepa, euros amsterdam, baan, aex, aex index, amsterdam shares, dutch shares, getronics, euros upc, asm lithography, amsterdam main, benchmark 25",477,2000-01,2001-10,17,19
34,"mr stoiber, stoiber, sibiu, mr gaymard, sark, mr jospin, mr blocher, gaymard, mr sommer, mr eichel, holzmann, mr schroeder, edmund stoiber, mr schill, cdu",787,2000-01,2007-05,22,22
35,"ibra, mr wahid, ms megawati, sabirin, manulife indonesia, bank bali, wahid government, tun daim, palmco, sri halim, dharmala, renong, megawati, texmaco, sjahril",1235,2000-01,2015-10,37,40
36,"mr sperry, return page, y2k compliant, y2k, y2k problems, y2k bug, y2k related, y2k rollover, minor glitches, y2k issues, sperry, y2k preparations, y2k problem, millennium bug, mr yardeni",29,2000-01,2000-01,1,1
37,"tel 49, tel 44, st 212, tel 39, 30 tel, tel 852, kunsthalle, canaletto, musee, diebenkorn, hockney, braque, 10 tel, 15 admission, tel 34",2068,2000-01,2013-04,65,68
38,"pacific sector, taiwan taiex, zealand nzx, philippine shares, terms edt, barrel globex, points screen, poly real, stocks laggers, chip hang, pacific stocks, tracks class, terms est, india sensitive, screen trade",5795,2000-01,2018-05,180,183
39,"elektrim, mobilcom, mr esser, mr schmid, mr villalonga, liberty surf, ramqvist, tpsa, mr ricke, gerhard schmid, primacom, mr bon, teledanmark, viag interkom, upc",2531,2000-01,2014-09,62,71
40,"bathrooms half, ibuying, otteau, spieker, moinian, opendoor, citi habitats, conditions interviews, degrees source, miller appraiser, streeteasy, torto, bedrooms bathrooms, apartment reits, mack cali",6793,2000-01,2021-12,177,191
41,"jiway, tradepoint, called ix, mr saltiel, gigabell, panafieu, ix merger, mr cruickshank, gruppen ab, easdaq, nasdaq europe, tradepoint financial, bipop, om gruppen, don cruickshank",681,2000-01,2007-10,19,20
42,"hk cents, 50 hk, cents hk, ordinaries index, hk hk, gained hk, 25 hk, shed hk, added hk, volume worth, hanergy, chip hang, ordinaries, lost hk, 75 hk",1463,2000-01,2015-11,43,44
43,"falun dafa, dafa, mr bo, mr heywood, mr tung, wukan, mr soong, pntr, occupy central, mr ai, mr lien, tung administration, soong, mrs chan, kmt",6910,2000-01,2021-12,167,189
44,"frankfurt stocks, chip xetra, frankfurt shares, euros electronics, epcos, euros sap, euros infineon, euros siemens, euros software, euros frankfurt, heavyweight deutsche, euros daimlerchrysler, euros deutsche, 00 euros, frankfurt blue",591,2000-01,2001-08,19,24
45,"vasotec, jos bank, aéropostale, optical films, established stores, fingerhut, jdn, vcg, men wearhouse, mr lacy, sunterra, mr hoops, powderject, wearhouse, warner lambert",3356,2000-01,2017-02,74,82
46,"yield newest, jgb futures, year jgb, jgb, eurobond session, newest 10, cash jgbs, midmarket swaps, london eurobond, jgbs, bund future, benchmark 75, point midmarket, bond 2009, point euribor",1365,2000-01,2018-05,59,59
47,"cobepa, hbg, symbion, trafford centre, australian leisure, ogs, mr osmond, castorama, boskalis, alh, oberthur, tradepoint, bid abbey, costain, healthscope",1776,2000-01,2015-03,62,64
48,"tse section, section issues, nikkei futures, index tse, topix index, index tokyo, nasdaq japan, yen ntt, asahi bank, exchange section, yen nec, yen sumitomo, yen matsushita, yen advantest, 225 average",1638,2000-01,2017-06,59,60
49,"won pohang, won blue, won hyundai, won seoul, won sk, won korea, korea shares, unchanged volume, 300 won, 350 won, 500 won, hyundai electronics, kosdaq, korea composite, 700 won",394,2000-01,2001-04,16,16
50,"diesel futures, rbob settled, blendstock, gasoline blendstock, blendstock rbob, gasoline contract, benchmark gasoline, rbob, electronic session, barrel decrease, lipow, reformulated gasoline, crude ice, distillates include, oil associates",11141,2000-01,2021-07,236,281
51,"zimbra, allchin, pocket pc, mr myhrvold, alienware, windows xp, windows 2000, judge jackson, mr belluzzo, xps, smart tags, wap, ohura, cyberrebate, igi",2645,2000-01,2016-10,56,62
52,"cny6, hukou, currency floats, pboc, implying fall, fall yuan, social financing, parity rate, central parity, cbrc, yuan central, nondeliverable forward, yuan deposits, floats freely, offshore yuan",9007,2000-01,2021-12,185,216
53,"stock cnx, volume bse, cnx nifty, nifty index, 30 sensex, rupees hdfc, rupees icici, rupees tata, rupees reliance, rupees mumbai, share nifty, 55 rupees, nifty fell, 65 rupees, 00 rupees",2108,2000-01,2014-10,71,76
54,"zurich allied, 50 francs, rose francs, francs novartis, francs zurich, francs pharmaceutical, ubs gained, francs nestle, francs roche, 13 francs, swiss market, zurich shares, swiss shares, roche fell, novartis gained",514,2000-01,2015-01,20,20
55,"ringgit kuala, malaysia shares, time dotcom, renong, 70 ringgit, united engineers, ringgit telekom, 10 sen, lumpur stock, untraded, 30 ringgit, tenaga, ringgit investors, 90 ringgit, 60 sen",399,2000-01,2001-05,17,17
56,"80 rand, 40 rand, 50 rand, rand johannesburg, 10 rand, 70 rand, gold index, 30 rand, composite share, 90 rand, africa stocks, networking commerce, 35 rand, industrial index, africa shares",409,2000-01,2013-05,17,17
57,"pence logica, pence arm, 100 closed, spirent, pence energis, pence announcing, gained pence, pence despite, dropped pence, pence british, pence shell, london stocks, heavyweight vodafone, bookham, pence bp",557,2000-01,2005-07,22,22
58,"poor smallcap, nyse fell, nyse gained, cap nasdaq, nyse traded, nyse rose, nasdaq advancing, smallcap 600, nasdaq small, measured russell, cap markets, overall nasdaq, nyse jumped, nyse climbed, nyse added",2174,2000-01,2010-09,95,97
59,"stockholm general, omx index, fell kronor, framfab, stockholm shares, 50 kronor, general index, icon medialab, finnish rival, rival nokia, kronor stockholm, kronor amid, medialab, operator telia, ericsson rose",449,2000-01,2001-07,17,19
60,"75 baht, baht bangkok, thailand shares, foreign board, thailand stocks, hana microelectronics, thailand index, 50 baht, 25 baht, telecomasia, board volume, baht bank, excluding shares, baht thai, siam cement",432,2000-01,2001-04,16,16
61,"pesos banco, acindar, volumes totaled, merval index, pesos telecom, pc holdings, perez companc, companc, merval, stock volumes, banco galicia, general index, irsa, company perez, leading shares",437,2000-01,2001-05,17,17
62,"printcafe, hp enterprise, jds said, antec, general semiconductor, solectron, financial expecting, mr osha, tellabs, kriens, agere, novellus, 3com said, kriens said, manugistics",4087,2000-01,2019-05,74,83
63,"ordinaries index, ordinaries, heavyweight news, ecorp, broken hill, hill proprietary, wireless optus, australia shares, sausage software, telstra fell, telstra rose, led advancers, corp ordinary, optus, algom",448,2000-01,2012-08,18,18
64,"nt nt, exchange weighted, cents nt, 50 nt, gained nt, nt 50, winbond, limit nt, winbond electronics, maker mosel, volume valued, vitelic, mosel vitelic, unchanged volume, dropped nt",411,2000-01,2001-04,16,16
65,"brussels shares, bel 20, euros brussels, belgian shares, real software, euros fortis, colruyt, leading belgian, telindus, fortis rose, miniere, fortis fell, barco, euros real, 20 index",362,2000-01,2001-05,17,17
66,"venture manufacturing, singapore shares, natsteel, natsteel electronics, unchanged volume, datacraft asia, datacraft, singapore cents, 50 singapore, omni industries, dbs land, times index, mediaring com, led advancers, 60 singapore",391,2000-01,2016-09,18,18
67,"tse 60, tse 14, 300 composite, bombardier class, exchange 300, stock groups, toronto stocks, company celestica, scotia gained, bce fell, york indexes, company jds, chip trading, groups ended, 60 index",710,2000-01,2014-05,28,28
68,"ministers welcomed, mr buttiglione, mr haider, mr giscard, ceta, candidate countries, buttiglione, kostunica, mr welteke, lepper, soederman, durao barroso, mr kostunica, apec, nice treaty",2489,2000-01,2017-11,59,61
69,"lg card, sk global, seoulbank, daewoo motor, chohung, cao singapore, hyundai investment, hyundai group, bupyong, chohung bank, keb, hyundai engineering, woori, dong ah, hana bank",1406,2000-01,2011-06,56,56
70,"ms druyun, druyun, fcs, mr stonecipher, launch aid, jsf, farnborough england, mr forgeard, forgeard, mr albaugh, farnborough international, mr muilenburg, farnborough, uac, cseries",1300,2000-01,2019-07,46,46
71,"andersen partners, andersen worldwide, mr komansky, mr marron, mr steffens, mr peek, berardino, windhorst, azeo, mr tusa, mr desano, mr biver, komansky, mr fama, verey",1702,2000-01,2019-06,48,49
72,"mexico class, bellwether telefonos, pesos mexico, centavos, class cpo, telmex class, key ipc, centavos 25, pesos retailer, centavos 16, centavos 22, city stocks, cpo shares, banacci, centavos 24",509,2000-01,2017-04,20,20
73,"tenders received, inflation chips, threat value, york treasurys, price yielding, indirect bidding, indirect bid, denominations 100, bond bulls, pressprich new, giddis head, larry milstein, trading pressprich, gemma wright, note settled",8944,2000-01,2021-12,235,251
74,"rupiah shares, 25 rupiah, indonesia shares, 150 rupiah, garam, bellwether telekomunikasi, gudang garam, gudang, 50 rupiah, operator indosat, 100 rupiah, hm sampoerna, rupiah jakarta, 250 rupiah, rupiah 13",392,2000-01,2001-03,15,15
75,"xetra 30, technologies ifnny, dax xetra, jones euro, stoxx index, french cac, cents quoted, joined single, ase composite, index sectors, delivery comex, subindex led, national indexes, decliners london, tracks europe",5253,2000-01,2015-07,172,172
76,"send reprint, reprint requests, 33 orders, bookstar, list paperback, brentano coles, dalton bookland, coles coopersmith, doubleday scribners, books bookstar, borders brentano, com contribute, sales booksellers, bookland, scribners",111,2000-01,2007-05,6,6
77,"ypg, kostunica, manbij, mr kostunica, opcw, taguba, mr milosevic, kobani, idlib, ghouta, mr abadi, afrin, cambone, houthis, syrian observatory",14775,2000-01,2021-11,224,331
78,"mae 30, york mortgage, outperformed treasurys, ginnie maes, current coupon, coupon mortgage, securities outperformed, prepayment risks, coupons outperformed, versus treasurys, refinancing index, mbs, mae mortgage, ginnie, outperforming treasurys",602,2000-01,2010-06,25,25
79,"madrid shares, euros madrid, mr villalonga, cantabrico, euros iberdrola, index spain, euros telefonica, euros banco, ureta, publicidad, telefonica internet, villalonga, telefonica fell, ibex 35, endesa iberdrola",444,2000-01,2001-04,16,16
80,"judge sotomayor, judge kavanaugh, judge gorsuch, dr ford, judge roberts, judge barrett, ms kagan, judge alito, justice gorsuch, gorsuch, sauls, grutter, judge garland, miami relatives, justice barrett",5500,2000-01,2021-12,149,159
81,"reals sao, reals preferred, reals worth, 50 reals, banespa, globo cabo, reals shares, holding eletrobras, 80 reals, 10 reals, cesp, brazil stocks, reals power, 20 reals, reals cable",391,2000-01,2001-04,16,16
82,"nextwave, mr forsee, lightsquared, title ii, clearwire, wayport, bell rivals, forsee, mr ergen, ipcs, portability rules, wimax, montana power, spectrum holdings, metropcs",4328,2000-01,2019-11,112,126
83,"ubiquiti, transmeta, ftx, menlow, ipopros, zoopla, loudcloud, commscan, robinhood, menlow said, agere, therasense, ipopros com, divine interventures, interventures",1285,2000-01,2021-07,48,48
84,"boo com, french users, freeserve, miller freeman, lost boys, nazi memorabilia, multimania, ncba, alando, white ops, kimo, united news, libertysurf, ms brink, twitter ipo",178,2000-01,2013-09,7,8
85,"shanghai class, jones shanghai, china 88, shenzhen index, shenzhen counterpart, shenzhen class, 88 index, jones china, zhejiang southeast, shanghai share, shanghai index, guangdong electric, technically reserved, counterpart gained, shenzhen share",1169,2000-01,2020-07,32,32
86,"telmex tmx, pesos shares, americas sector, cap merval, key americas, americas markets, tsx 60, key ipc, toronto 10, pesos brazil, toronto stocks, 35 traded, cpo shares, reals mining, 300 composite",2129,2000-01,2008-04,94,94
87,"cecere said, noninterest expense, think collectible, lending profitability, day compound, offs loans, measure lending, demchak said, compound yield, pruzan said, mr demchak, average loans, nycb, cecere, mr sewing",3001,2000-01,2021-10,78,85
88,"curtin survey, net percent, capability industry, capability utilization, reported capability, intermeeting period, indicate percent, continuing unemployment, mr broaddus, washington raw, anthony nieves, pce inflation, expenditures price, ozyildirim, continuing claims",6398,2000-01,2021-12,173,176
89,"tweber, mrs lewis, paternot, catcha, elderhostel, mr mabry, mr barach, mr buettner, moloshok, depauw, wsj_host, barach, bowlin, mothernature, brabender",635,2000-01,2010-11,15,17
90,"mr abdulmutallab, mr shahzad, mr mehsud, noordin, zazi, mr awlaki, baasyir, ghailani, mr zardari, mqm, mr karzai, abdulmutallab, mr ghani, riduan, saipov",8747,2000-01,2021-07,164,253
91,"ms mester, mr harker, mr clarida, fed leader, mr rosengren, clarida said, mester said, dot plot, mester, mr kocherlakota, clarida, kocherlakota, mr barkin, barkin said, ms brainard",4417,2000-01,2021-11,148,156
92,"cardizem, quintiles, webmd, gillings, healtheon webmd, healtheon, jean coutu, data quintiles, coutu, biovail, beauty com, private fee, doctor owned, coutu group, phar",79,2000-01,2006-08,4,4
93,"ahmsa, banespa, bancomer, serfin, najera, ipab, banacci, banco galicia, mabe, probursa, bbv, nazar, bsch, aceralia, inglés",239,2000-01,2014-01,10,10
94,"ms rhee, nclb, parent trigger, uft, hoxby, bharucha, teacher evaluation, ms byrd, harbor school, teacher evaluations, naep, mr bobb, accreditors, ineffective teachers, fariña",4449,2000-01,2021-05,122,125
95,"brien bob, david gaffen, bob new, gaffen, poor smallcap, send suggestions, unchanged nyse, issues advancing, write robert, nyse fell, smallcap 600, premarket action, nasdaq lehman, com marketbeat, 16 nasdaq",2061,2000-01,2020-10,56,60
96,"baa1 bbb, yield margin, global notes, piece priced, 144a debt, moody single, chase salomon, moody triple, leads deal, year piece, syndicate officials, rated baa1, treasurys offered, barney leads, treasurys issue",550,2000-01,2009-05,23,23
97,"mr farrah, sequim, pomerol, telephone attitude, donaghy, chablis, mr emmerson, pinot gris, perse, mr cavalli, slatkin, mr barzun, cycladic, chenin, chenin blanc",1920,2000-02,2020-12,55,56
98,"tweber, mydoom, sobig, jul, shadow brokers, lulzsec, nimda, ransomware, blaster worm, spyware adware, adware, choicepoint, sobig virus, antispyware, mr mitnick",1735,2000-02,2021-12,58,60
99,"mr kohlhaussen, kohlhaussen, mr barnevik, bbg, mr fahrholz, fahrholz, barnevik, elektrim, pzu, bgb, dresdner commerzbank, mr breuer, kamps, mr kott, rupf",903,2000-02,2016-09,27,27
100,"a3xx, 777x, winglets, cseries, a320neo, cush said, 747x, mr brégier, dc air, brégier, cush, ansett, mr cush, amr creditors, dragonair",2454,2000-02,2017-12,60,60
101,"good column, rayford, elgindy, column got, ms singleton, dr gay, laimbeer, mr elgindy, tureen, mr iverson, diamondbacks, mr mcgwire, mr ripken, whitby, mcgwire",521,2000-02,2013-02,18,19
102,"bodek, order types, holdings ax, ecns, pcx, mr sidhu, nyse members, archipelago deal, philadelphia exchange, 366 seats, flash orders, direct edge, ratterman, nasd members, cbot",1302,2000-03,2019-06,52,52
103,"reckson, captec, egl, finova, mr bertolini, biosite, berkadia, wesley jessen, partnerre, travelcenters, bfgoodrich, vwr, bertolini, macklowe, rechler",1027,2000-03,2019-05,36,39
104,"continues chairman, brings board, joins firm, continues chief, continue responsibilities, named additional, succeeds founder, continue director, mr cantalupo, succeeds james, succeeds john, named partner, succeeds michael, succeeds david, president controller",4234,2000-03,2021-03,97,108
105,"franzia, atecs, sairgroup, collective dominance, quinsa, sleeman, algroup, sabena, distrigaz, emi time, sair, mr milberg, interbrew, pzu, mr monti",702,2000-03,2016-06,21,21
106,"mr ailes, bancrofts, mr baquet, mr brauchli, chandlers, mr fitzsimons, bancroft family, elefante, brauchli, baquet, tribune stock, mr zannino, zannino, chandler family, ailes",935,2000-03,2013-09,39,39
107,"gaspin, ebersol, upn, voom, mr sassa, xfl, sassa, mr ebersol, dolgen, mr seacrest, mr ergen, intertainer, ms couric, lorre, mr karmazin",3440,2000-03,2013-05,87,94
108,"poloz, mr poloz, provider cqg, poloz said, stephen poloz, economists royal, cmhc, governor stephen, mr morneau, jimmy jean, cqg dollar, nonenergy exports, gmt australian, rba, morneau",2256,2000-03,2019-12,69,80
109,"mr weldon, mercuria, 2001 bonus, mr kloet, compensation 2011, compensation excluding, plan compensation, mr kandarian, options 1999, mr montag, pension value, mr stockert, 2012 compensation, petrello, kandarian",315,2000-03,2014-03,12,12
110,"frozen coke, mr daft, wine alcohol, coolbrands, mr isdell, mr heyer, mr laguarta, isdell, suiza, sodastream, laguarta, ms minnick, mr whitley, dasani, aquafina",240,2000-03,2018-08,11,11
111,"mr dooner, dooner, tempus, mr coen, hotbot, mead vickers, appnexus, ad blocking, bungey, amstel light, white ops, arvato, mr partilla, mr haupt, fullscreen",651,2000-03,2018-06,26,26
112,"romneys, taxact, rossotti, form 1040x, 1040x, irs says, office deduction, buffett rule, amended return, slott, irs web, houk, taxcut, irs publication, caparo",1525,2000-04,2021-07,55,57
113,"mr rutelli, mr bossi, mr letta, rutelli, mr grillo, veltroni, mr bersani, bossi, mr renzi, mr mattarella, ulivo, bersani, letta, mr alema, mr monti",823,2000-04,2018-10,33,33
114,"ameriserve, bestfoods, agribrands, sundsvall, mr daft, mr lenny, nabisco group, mr enrico, mr reinemund, ibp, hillshire, sobe, reinemund, mr dasburg, mr mackey",709,2000-04,2018-08,22,22
115,"seoul summit, gyeongju, mr kganyago, mr zoellick, velarde said, mr mundell, gyeongju south, mr geithner, turhan, kganyago, sdrs, adb, sifis, south trade, velarde",297,2000-04,2015-10,11,11
116,"cyberrebate, tweber, genachowski, mr genachowski, firstnet, ezgov, hvide, rodota, cyberrebate com, mr pai, mr littell, google voice, title ii, net neutrality, network neutrality",218,2000-05,2017-11,10,10
117,"mr maran, mr milliken, milliken, trade envoys, reject amend, cafta, uranium program, maran, tpa, tpp, track legislation, tactical nuclear, retired steelworkers, globalizers, oppose fast",214,2000-05,2018-10,10,10
118,"sondland, mr sondland, ms miers, ms yovanovitch, mr strzok, yovanovitch, strzok, judge kavanaugh, dr ford, ms abedin, parnas, miers, mr parnas, vindman, pagliano",2482,2000-05,2021-07,58,64
119,"bykov, mr kozeny, itera, kozeny, mr makarov, tpsa, kulczyk, svyazinvest, krasnoyarsk, sbs, kulczyk holding, makarov, russia aluminum, handlowy, pekao",44,2000-05,2000-10,2,2
120,"vaping, juul, vaping products, mr lorello, lorello, vaping industry, flavored cigarettes, sacklers, sale flavored, vaping related, judge kaye, brown williamson, vape, liggett, unit loews",429,2000-05,2019-11,17,17
121,"mr trudeau, ftaa, trudeau, coderre, pierre trudeau, mr lighthizer, mr butts, nafta talks, new nafta, mulcair, lighthizer, canada dairy, poloz, eggleton, trudeau said",189,2000-05,2018-09,8,8
122,"lescure, mr messier, mr lescure, vivendi environment, fourtou, mr fourtou, telepiu, mr bebear, media utility, bronfmans, cegetel, hannezo, mr dehecq, vivendi new, universal publishing",255,2000-06,2004-01,11,11
123,"warmbier, kaesong, cheonan, mr roh, mr ri, thaad, jong eun, dprk, mr hatoyama, yeonpyeong, inter korean, mr moon, mr fowle, thae, denuclearization",3645,2000-06,2019-08,107,108
124,"mr felt, broadus, asman, com oct, chagnon, juraj, host march, com feb, mr bragg, kageyama, mr podhoretz, roiphe, mr bartley, com march, mr cage",984,2000-06,2021-11,31,32
125,"sauvignon blanc, dottie, sauvignon, corkage, syrah, beaujolais, domaine, chablis, john good, chardonnays, special bottle, sauternes, sancerre, rhone valley, grenache",1021,2000-07,2012-05,19,21
126,"bone meal, kuenast, horse meat, starlink, bio rad, listeria, prions, snow brand, marler, brain wasting, jakob disease, duis, starlink corn, pedialyte, creutzfeldt jakob",692,2000-07,2017-01,24,24
127,"729 750, fha, hamp, shorebank, fha backed, fan fred, option arms, treasury indexed, loan modification, modification program, gses, modify loans, mortgage averaged, mr dann, nothaft",3669,2000-07,2020-09,87,112
128,"mr netanyahu, mr gantz, gantz, mr barak, lapid, likud, netanyahu likud, mr lapid, mr sharon, arab parties, mr peres, isaac herzog, mandelblit, benny gantz, gantz said",576,2000-08,2021-06,22,24
129,"kaizaki, bridgestone firestone, tread separation, wilderness tires, ford bridgestone, atx, firestone tires, karbowiak, tire failures, tires ford, firestone ford, ford firestone, firestone, mr ono, mr nasser",43,2000-08,2000-09,2,2
130,"ercot, pg edison, distributed generation, ferc, rtos, puc, ercot said, mr south, reliability council, edison pg, sierra pacific, international transmission, isos, council texas, schriber",478,2000-08,2021-03,18,18
131,"machar, mr machar, mr kiir, kiir, mr gbagbo, mr mandela, m23, mr ouattara, mr odinga, shekau, mr kony, mr jonathan, kony, mr kenyatta, lra",1636,2000-08,2018-08,64,67
132,"mr kiley, dr kelly, mrs blair, new labour, ms maier, mr portillo, mr gilligan, mrs thatcher, mr hoon, duncan smith, mr hague, zeiss, alastair campbell, kelly death, portillo",565,2000-08,2013-04,19,20
133,"mr haffa, haffa, bewag, veag, mr kron, mr montebourg, em tv, vonovia, metso, terraform, montebourg, converteam, alstom energy, scania capital, alstom board",187,2000-08,2015-12,7,7
134,"ipcc, tongass, phil jones, mr pachauri, perchlorate, mr gover, climatic research, pachauri, caldor, giesen, climategate, nepa, neveu, climate research, carbon sinks",1238,2000-08,2021-08,39,40
135,"gilets jaunes, gilets, jaunes, hartono, mr macron, macron, voluntary carbon, yellow vests, fuel taxes, castaner, gilet, mr piebalgs, fuel tax, yellow vest, jaune",104,2000-09,2018-12,4,4
136,"mr federer, samaranch, artest, federer, kinzler, iqaluit, del potro, potro, wozniacki, djokovic, stoudemire, mr djokovic, nordegren, entine, ioc",388,2000-09,2013-02,14,14
137,"pfc manning, ivins, mr ulbricht, intertek, ulbricht, col davis, fort detrick, karapetyan, aluminum shapes, dr lee, aiding enemy, wen ho, bruce ivins, gen lewis, ho lee",162,2000-09,2016-10,8,8
